StoreNo,IDX,days,mean_daily_sales,median_daily_sales,positive_sales_days,zero_sales_days,positive_day_share,zero_day_share,rotation_group
R433,253395.0,564,2.028368794326241,1.5,366,198,0.648936170212766,0.35106382978723405,high
R433,253620.0,568,3.022887323943662,1.0,372,196,0.6549295774647887,0.34507042253521125,high
R433,253834.0,554,2.6949458483754514,2.0,382,172,0.6895306859205776,0.3104693140794224,high
R433,256910.0,534,3.0805243445692883,2.0,367,167,0.6872659176029963,0.31273408239700373,high
R433,261138.0,546,1.489010989010989,1.0,291,255,0.532967032967033,0.46703296703296704,medium
R433,262124.0,566,1.3180212014134276,1.0,330,236,0.5830388692579506,0.4169611307420495,medium
R433,263620.0,568,1.3785211267605635,1.0,303,265,0.5334507042253521,0.4665492957746479,medium
R433,267351.0,508,1.8976377952755905,1.0,284,224,0.5590551181102362,0.4409448818897638,high
R433,267740.0,532,1.287593984962406,1.0,278,254,0.5225563909774437,0.4774436090225564,medium
R433,268126.0,553,9.247739602169982,7.0,401,152,0.7251356238698011,0.27486437613019893,high
R433,268131.0,543,5.101289134438305,4.0,407,136,0.7495395948434622,0.2504604051565378,high
R433,269501.0,560,1.5089285714285714,1.0,309,251,0.5517857142857143,0.44821428571428573,medium
R433,274167.0,455,1.591208791208791,1.0,290,165,0.6373626373626373,0.3626373626373626,medium
R433,274773.0,558,1.514336917562724,1.0,336,222,0.6021505376344086,0.3978494623655914,medium
R433,274774.0,568,1.0580985915492958,1.0,314,254,0.5528169014084507,0.4471830985915493,low
R433,277185.0,566,1.2968197879858658,1.0,325,241,0.5742049469964664,0.42579505300353354,medium
R433,277241.0,544,1.5625,1.0,335,209,0.6158088235294118,0.38419117647058826,medium
R433,278293.0,568,0.9190140845070423,0.0,273,295,0.48063380281690143,0.5193661971830986,low
R433,279558.0,564,1.1932624113475176,1.0,303,261,0.5372340425531915,0.4627659574468085,medium
R433,280108.0,538,1.845724907063197,1.0,314,224,0.5836431226765799,0.4163568773234201,high
R433,280419.0,527,0.9734345351043643,0.0,254,273,0.4819734345351044,0.5180265654648957,low
R433,281133.0,568,1.3028169014084507,1.0,287,281,0.5052816901408451,0.49471830985915494,medium
R433,281134.0,568,1.7482394366197183,1.0,315,253,0.5545774647887324,0.4454225352112676,high
R433,282298.0,566,0.8480565371024735,0.0,274,292,0.4840989399293286,0.5159010600706714,low
R433,282593.0,568,1.0017605633802817,0.0,276,292,0.4859154929577465,0.5140845070422535,low
R433,283627.0,519,1.188824662813102,1.0,287,232,0.5529865125240848,0.44701348747591524,medium
